Date,Open,High,Low,Close,Adj Close,Volume
2013-08-26,497.532990,506.500000,490.000000,496.399994,449.010010,495948
2013-08-27,491.867004,493.666992,466.500000,470.066986,425.190948,991422
2013-08-28,465.132996,476.266998,452.066986,469.833008,424.979309,912279
2013-08-29,476.166992,488.333008,476.166992,481.433014,435.471893,491475
2013-08-30,482.000000,488.500000,473.333008,481.500000,435.532501,507066
2013-09-02,486.666992,489.333008,482.733002,484.933014,438.637787,439068
2013-09-03,490.000000,491.367004,460.733002,463.032990,418.828522,716847
2013-09-04,466.666992,475.000000,458.399994,466.032990,421.542084,866991
2013-09-05,478.666992,486.600006,478.666992,485.066986,438.758972,488372
2013-09-06,488.132996,507.666992,486.399994,502.433014,454.467102,894122
2013-09-10,513.333008,540.632996,511.333008,538.132996,486.758881,967742
2013-09-11,538.500000,554.599976,530.000000,544.333008,492.367004,842242
2013-09-12,550.000000,553.232971,539.267029,542.466980,490.679138,406005
2013-09-13,544.000000,557.333008,540.000000,555.767029,502.709534,516297
2013-09-16,565.333008,574.666992,549.599976,552.400024,499.663879,569427
2013-09-17,551.932983,555.932983,544.000000,547.966980,495.654053,218064
2013-09-18,548.700012,563.333008,546.666992,557.200012,504.005646,274992
2013-09-19,574.232971,598.666992,571.000000,592.099976,535.573792,838604
2013-09-20,586.666992,590.466980,556.000000,564.666992,510.759705,689226
2013-09-23,555.333008,566.799988,538.367004,540.966980,489.322357,494775
2013-09-24,538.000000,554.400024,534.166992,550.799988,498.216583,329352
2013-09-25,553.267029,560.000000,544.799988,554.400024,501.472931,425307
2013-09-26,551.867004,562.599976,551.533020,553.432983,500.598267,307341
2013-09-27,559.333008,562.466980,543.333008,544.966980,492.940491,328194
2013-09-30,540.666992,541.666992,522.833008,525.732971,475.542694,510765
2013-10-01,526.666992,535.932983,518.067017,533.333008,482.417206,414807
2013-10-03,539.200012,553.333008,536.833008,552.067017,499.362640,413274
2013-10-04,549.333008,556.700012,544.200012,546.700012,494.507996,363122
2013-10-07,546.732971,547.632996,534.132996,539.232971,487.753876,459242
2013-10-08,546.867004,556.599976,545.767029,552.067017,499.362640,402206
2013-10-09,545.333008,565.867004,544.666992,563.299988,509.523346,430851
2013-10-10,563.466980,570.000000,561.067017,563.966980,510.126587,307876
2013-10-11,571.033020,590.000000,566.767029,587.966980,531.835388,733582
2013-10-14,586.666992,595.900024,582.500000,584.200012,528.428040,324777
2013-10-15,588.367004,593.000000,573.299988,579.799988,524.448059,316866
2013-10-17,576.666992,578.666992,556.732971,558.166992,504.880371,455288
2013-10-18,558.132996,586.599976,552.000000,581.567017,526.046387,1245171
2013-10-21,590.000000,619.200012,590.000000,616.767029,557.885986,1594335
2013-10-22,614.200012,626.000000,610.833008,623.132996,563.644226,598018
2013-10-23,623.333008,633.267029,617.000000,631.533020,571.242310,539157
2013-10-24,631.333008,648.166992,629.333008,643.067017,581.675171,699458
2013-10-25,636.666992,639.333008,624.333008,631.632996,571.332764,452516
2013-10-28,632.666992,650.333008,632.333008,643.599976,582.157227,425108
2013-10-29,641.333008,653.267029,627.833008,651.599976,589.393555,520910
2013-10-30,650.000000,653.267029,644.067017,646.267029,584.569702,300276
2013-10-31,643.333008,656.432983,642.599976,648.367004,586.469177,354891
2013-11-01,648.000000,657.267029,647.333008,654.533020,592.046509,441068
2013-11-05,644.700012,653.599976,642.666992,645.732971,584.086609,274016
2013-11-06,645.333008,652.632996,640.666992,641.666992,580.408813,186756
2013-11-07,640.000000,656.267029,636.099976,637.333008,576.488525,387663
2013-11-08,636.533020,651.333008,630.000000,649.033020,587.071655,366840
2013-11-11,643.333008,646.666992,625.466980,629.067017,569.011719,429068
2013-11-12,630.000000,639.900024,615.500000,619.200012,560.086670,342594
2013-11-13,615.666992,622.000000,608.200012,612.833008,554.327515,364395
2013-11-14,617.567017,640.666992,617.567017,626.299988,566.508850,447003
2013-11-18,634.867004,652.666992,634.666992,650.732971,588.609192,479607
2013-11-19,652.400024,663.799988,652.000000,662.567017,599.313599,475518
2013-11-20,662.000000,662.000000,648.666992,650.833008,588.699707,244486
2013-11-21,646.466980,651.267029,630.966980,632.232971,571.875366,353061
2013-11-22,637.333008,647.166992,632.232971,642.666992,581.313293,292674
2013-11-25,647.533020,669.732971,647.333008,668.166992,604.378845,699728
2013-11-26,666.000000,677.333008,664.000000,667.900024,604.137390,400550
2013-11-27,668.132996,673.333008,659.067017,671.067017,607.002014,276020
2013-11-28,672.867004,685.500000,672.867004,682.267029,617.132874,374862
2013-11-29,683.000000,698.000000,677.432983,695.567017,629.163025,446300
2013-12-02,694.799988,713.333008,694.799988,711.033020,643.152588,380168
2013-12-03,709.333008,721.200012,702.000000,703.200012,636.067383,411669
2013-12-04,698.466980,702.299988,689.000000,693.333008,627.142395,274690
2013-12-05,706.732971,726.333008,706.732971,724.432983,655.273376,702996
2013-12-06,720.200012,732.700012,720.000000,731.033020,661.243408,353391
2013-12-09,745.333008,768.267029,745.333008,764.067017,691.123657,1224652
2013-12-10,758.267029,760.067017,728.599976,733.500000,663.474731,567842
2013-12-11,725.132996,728.000000,717.533020,720.533020,651.745728,289278
2013-12-12,712.666992,719.333008,706.299988,710.632996,642.790771,273716
2013-12-13,700.333008,704.466980,696.099976,699.666992,632.871765,386904
2013-12-16,698.833008,713.166992,698.000000,705.466980,638.117920,286634
2013-12-17,713.333008,716.067017,704.900024,708.932983,641.253052,242271
2013-12-18,706.867004,733.267029,706.867004,729.000000,659.404358,379592
2013-12-19,735.000000,736.666992,700.033020,707.432983,639.896301,439286
2013-12-20,703.367004,709.333008,696.000000,707.700012,640.137878,418934
2013-12-23,710.200012,720.000000,710.000000,712.432983,644.419006,228972
2013-12-24,714.867004,723.799988,714.867004,717.099976,648.640320,185424
2013-12-26,716.666992,722.599976,711.200012,714.932983,646.680298,171004
2013-12-27,714.132996,725.367004,714.132996,718.432983,649.846191,186232
2013-12-30,719.132996,721.666992,706.132996,709.500000,641.766052,182084
2013-12-31,712.166992,715.767029,709.666992,713.267029,645.173340,107550
2014-01-01,716.666992,719.666992,711.267029,712.599976,644.570007,83444
2014-01-02,711.533020,719.799988,685.333008,690.932983,624.971497,402657
2014-01-03,682.000000,688.132996,672.867004,674.833008,610.408508,395224
2014-01-06,676.666992,683.932983,667.333008,674.200012,609.835999,371686
2014-01-07,676.666992,685.333008,672.400024,679.367004,614.509827,307467
2014-01-08,682.099976,684.000000,663.333008,665.599976,602.057007,382896
2014-01-09,666.666992,669.900024,646.367004,647.732971,585.895691,616820
2014-01-10,649.333008,656.267029,634.400024,637.333008,576.488525,663897
2014-01-13,638.000000,656.666992,638.000000,653.400024,591.021729,324714
2014-01-14,654.200012,664.367004,645.333008,648.299988,586.408630,378344
2014-01-15,650.067017,668.632996,650.067017,665.867004,602.298462,437882
2014-01-16,670.000000,675.466980,661.333008,668.533020,604.710022,281781
2014-01-17,668.533020,673.267029,663.333008,667.432983,603.715027,212682
2014-01-20,667.333008,673.267029,654.000000,666.666992,603.022095,181056
2014-01-21,670.333008,678.000000,670.033020,674.200012,609.835999,195636
2014-01-22,674.033020,678.299988,664.432983,669.833008,605.885864,348910
2014-01-23,673.333008,695.599976,673.333008,688.666992,622.921875,679412
2014-01-24,681.400024,686.000000,669.333008,670.567017,606.549866,260444
2014-01-27,663.132996,663.132996,648.666992,653.267029,590.901428,311475
2014-01-28,649.333008,664.000000,649.333008,656.232971,593.584167,241438
2014-01-29,660.099976,670.267029,658.932983,662.099976,598.891113,287066
2014-01-30,652.666992,657.932983,650.367004,653.466980,591.082336,382502
2014-01-31,655.333008,663.333008,652.000000,656.932983,594.217529,184131
2014-02-03,657.666992,659.333008,650.200012,653.267029,590.901428,159243
2014-02-04,646.299988,658.666992,641.333008,655.067017,592.529602,193503
2014-02-05,656.000000,658.900024,650.200012,656.132996,593.493835,180668
2014-02-06,658.533020,658.966980,646.166992,649.732971,587.704712,256251
2014-02-07,654.799988,657.932983,650.666992,654.567017,592.077332,149547
2014-02-10,656.867004,666.599976,652.732971,662.900024,599.614807,227736
2014-02-11,664.666992,671.333008,658.666992,661.132996,598.016418,213648
2014-02-12,665.333008,676.466980,662.666992,672.500000,608.298279,228303
2014-02-13,674.132996,677.632996,656.732971,657.400024,594.639832,184006
2014-02-14,660.666992,663.700012,650.732971,662.033020,598.830566,172815
2014-02-17,664.132996,669.799988,659.632996,665.432983,601.905884,187312
2014-02-18,666.000000,681.333008,660.666992,678.900024,614.087280,256956
2014-02-19,678.732971,688.333008,676.000000,686.599976,621.052185,278463
2014-02-20,680.867004,691.166992,678.000000,688.067017,622.379089,210777
2014-02-21,689.767029,702.333008,689.599976,701.067017,634.138062,339783
2014-02-24,700.666992,723.932983,700.666992,721.067017,652.228760,415146
2014-02-25,723.666992,726.666992,715.333008,725.432983,656.177917,287847
2014-02-26,720.900024,733.299988,720.000000,731.033020,661.243408,282294
2014-02-28,728.000000,742.632996,723.333008,738.867004,668.329346,354360
2014-03-03,734.067017,735.333008,724.666992,731.200012,661.394409,197660
2014-03-04,730.666992,746.932983,726.666992,744.599976,673.515137,309414
2014-03-05,744.799988,753.333008,742.033020,748.867004,677.374695,321044
2014-03-06,748.666992,763.666992,745.333008,761.333008,688.650635,398601
2014-03-07,762.867004,814.533020,762.666992,798.367004,722.149109,1232174
2014-03-10,790.000000,827.732971,790.000000,824.932983,746.178894,866170
2014-03-11,823.599976,836.599976,811.867004,819.799988,741.536011,694438
2014-03-12,816.666992,819.867004,804.666992,812.367004,734.812622,252936
2014-03-13,810.867004,825.067017,810.000000,816.932983,738.942627,232056
2014-03-14,812.533020,841.833008,801.466980,837.000000,757.093872,462414
2014-03-18,833.700012,844.666992,822.132996,827.200012,748.229492,298761
2014-03-19,826.000000,836.000000,819.333008,831.099976,751.757080,365392
2014-03-20,825.067017,828.466980,810.732971,813.500000,735.837402,205876
2014-03-21,816.067017,823.267029,807.400024,811.033020,733.605896,193890
2014-03-22,null,null,null,null,null,null
2014-03-24,816.666992,825.333008,811.033020,820.200012,741.897705,269154
2014-03-25,817.533020,833.333008,815.099976,832.267029,752.812744,272380
2014-03-26,834.000000,852.000000,834.000000,850.132996,768.973145,611758
2014-03-27,846.666992,863.333008,846.166992,855.567017,773.888306,386508
2014-03-28,857.333008,861.067017,840.267029,858.867004,776.873291,254541
2014-03-31,860.000000,867.333008,843.432983,848.432983,767.435364,393207
2014-04-01,845.067017,857.833008,835.400024,850.900024,769.666992,356264
2014-04-02,859.932983,873.333008,850.000000,866.632996,783.897949,398427
2014-04-03,864.000000,865.867004,836.666992,860.000000,777.898193,274184
2014-04-04,859.732971,859.732971,845.067017,851.400024,770.119202,196281
2014-04-07,866.666992,866.666992,845.200012,855.500000,773.827698,162855
2014-04-09,858.000000,871.966980,851.599976,866.232971,783.536072,252640
